"Model_Name","Year","Price in CAD","Category"
"ESCAPE®","2024","$ 31,844","SUVs & Crossovers"
"MAVERICK®","2024","$ 35,395","SUVs & Crossovers"
"MUSTANG®","2024","$ 39,425","SUVs & Crossovers"
"ESCAPE HYBRID","2024","$ 33,344","SUVs & Crossovers"
"TRANSIT CONNECT","2023","$ 38,265","SUVs & Crossovers"
"EDGE®","2024","$ 52,995","SUVs & Crossovers"
"FORD EXPLORER","2025","$ 62,890","SUVs & Crossovers"
"MUSTANG®","2024","$ 39,425","Sedan"
"ESCAPE®","2023","$ 35,044","SUVs & Crossovers"
"F-150®","2023","$ 37,450","SUVs & Crossovers"
"ESCAPE HYBRID","2023","$ 36,544","SUVs & Crossovers"
"SUPER DUTY® COMMERCIAL","2023","$ 60,874","SUVs & Crossovers"
"EXPLORER","2023","$ 69,200","SUVs & Crossovers"
