"Brand","Model","Year","Price","Category"
"Nissan","Versa","2024","23105","Cars"
"Nissan","KICKS","2024","25135","Crossovers / SUVs"
"Nissan","Sentra","2024","25155","Cars"
"Nissan","Altima","2024","34585","Cars"
"Nissan","Rogue","2024","36435","Crossovers / SUVs"
"Nissan","LEAF","2024","44596","Electric Vehicles"
"Nissan","Murano","2024","45635","Crossovers / SUVs"
"Nissan","Pathfinder","2024","49685","Crossovers / SUVs"
"Nissan","Frontier","2024","49785","Crossovers / SUVs"
"Nissan","Z","2024","53846","Sports Cars"
"Nissan","ARIYA","2024","55846","Crossovers / SUVs"
"Nissan","Armada","2024","76450","Crossovers / SUVs"
"Nissan","GT-R","2024","173495","Sports Cars"
